ID,Treatment,Age,TreatmentxAge,Abundance,ASV,Family,Genus
T8-15,Probiotics,Day 15,ProbioticsDay 15,0,ASV88,Rhodobacteraceae,Yoonia-Loktanella
T8-3,Probiotics,Day 03,ProbioticsDay 03,0,ASV88,Rhodobacteraceae,Yoonia-Loktanella
T8-6,Probiotics,Day 06,ProbioticsDay 06,0,ASV88,Rhodobacteraceae,Yoonia-Loktanella
T8-S-1,Probiotics,Spat,ProbioticsSpat,37,ASV88,Rhodobacteraceae,Yoonia-Loktanella
T8-S-2,Probiotics,Spat,ProbioticsSpat,53,ASV88,Rhodobacteraceae,Yoonia-Loktanella
T9-1,Probiotics HT,Day 01,Probiotics HTDay 01,0,ASV88,Rhodobacteraceae,Yoonia-Loktanella
T9-15,Probiotics HT,Day 15,Probiotics HTDay 15,0,ASV88,Rhodobacteraceae,Yoonia-Loktanella
T9-3,Probiotics HT,Day 03,Probiotics HTDay 03,13,ASV88,Rhodobacteraceae,Yoonia-Loktanella
T9-6,Probiotics HT,Day 06,Probiotics HTDay 06,0,ASV88,Rhodobacteraceae,Yoonia-Loktanella
T9-S-1,Probiotics HT,Spat,Probiotics HTSpat,39,ASV88,Rhodobacteraceae,Yoonia-Loktanella
T9-S-2,Probiotics HT,Spat,Probiotics HTSpat,32,ASV88,Rhodobacteraceae,Yoonia-Loktanella
A-1,Algae,Day 01,AlgaeDay 01,0,ASV376,Rhodobacteraceae,Oceanicella
A-15,Algae,Day 15,AlgaeDay 15,0,ASV376,Rhodobacteraceae,Oceanicella
A-3,Algae,Day 03,AlgaeDay 03,0,ASV376,Rhodobacteraceae,Oceanicella
A-6,Algae,Day 06,AlgaeDay 06,0,ASV376,Rhodobacteraceae,Oceanicella
T1-1,Control,Day 01,ControlDay 01,0,ASV376,Rhodobacteraceae,Oceanicella
T1-15,Control,Day 15,ControlDay 15,0,ASV376,Rhodobacteraceae,Oceanicella
T1-3,Control,Day 03,ControlDay 03,0,ASV376,Rhodobacteraceae,Oceanicella
T1-6,Control,Day 06,ControlDay 06,0,ASV376,Rhodobacteraceae,Oceanicella
T1-S-1,Control,Spat,ControlSpat,4,ASV376,Rhodobacteraceae,Oceanicella
T1-S-2,Control,Spat,ControlSpat,0,ASV376,Rhodobacteraceae,Oceanicella
T13-1,Control,Day 01,ControlDay 01,0,ASV376,Rhodobacteraceae,Oceanicella
T13-15,Control,Day 15,ControlDay 15,0,ASV376,Rhodobacteraceae,Oceanicella
T13-2-2,Control,Spat,ControlSpat,0,ASV376,Rhodobacteraceae,Oceanicella
T13-3,Control,Day 03,ControlDay 03,0,ASV376,Rhodobacteraceae,Oceanicella
T13-6,Control,Day 06,ControlDay 06,0,ASV376,Rhodobacteraceae,Oceanicella
T13-S-1,Control,Spat,ControlSpat,0,ASV376,Rhodobacteraceae,Oceanicella
T14-1,Probiotics,Day 01,ProbioticsDay 01,0,ASV376,Rhodobacteraceae,Oceanicella
T14-15,Probiotics,Day 15,ProbioticsDay 15,0,ASV376,Rhodobacteraceae,Oceanicella
T14-2-2,Probiotics,Spat,ProbioticsSpat,0,ASV376,Rhodobacteraceae,Oceanicella
T14-3,Probiotics,Day 03,ProbioticsDay 03,0,ASV376,Rhodobacteraceae,Oceanicella
T14-6,Probiotics,Day 06,ProbioticsDay 06,0,ASV376,Rhodobacteraceae,Oceanicella
T14-S-1,Probiotics,Spat,ProbioticsSpat,17,ASV376,Rhodobacteraceae,Oceanicella
T15-15,Probiotics HT,Day 15,Probiotics HTDay 15,0,ASV376,Rhodobacteraceae,Oceanicella
T15-2,Probiotics HT,Day 01,Probiotics HTDay 01,0,ASV376,Rhodobacteraceae,Oceanicella
T15-3,Probiotics HT,Day 03,Probiotics HTDay 03,0,ASV376,Rhodobacteraceae,Oceanicella
T15-6,Probiotics HT,Day 06,Probiotics HTDay 06,0,ASV376,Rhodobacteraceae,Oceanicella
T15-S-2,Probiotics HT,Spat,Probiotics HTSpat,13,ASV376,Rhodobacteraceae,Oceanicella
T17-15,High temperature,Day 15,High temperatureDay 15,0,ASV376,Rhodobacteraceae,Oceanicella
T17-2,High temperature,Day 01,High temperatureDay 01,0,ASV376,Rhodobacteraceae,Oceanicella
T17-3,High temperature,Day 03,High temperatureDay 03,0,ASV376,Rhodobacteraceae,Oceanicella
T17-6,High temperature,Day 06,High temperatureDay 06,0,ASV376,Rhodobacteraceae,Oceanicella
T19-3,Control,Day 03,ControlDay 03,0,ASV376,Rhodobacteraceae,Oceanicella
T19-6,Control,Day 06,ControlDay 06,0,ASV376,Rhodobacteraceae,Oceanicella
T2-1,Probiotics,Day 01,ProbioticsDay 01,0,ASV376,Rhodobacteraceae,Oceanicella
T2-15,Probiotics,Day 15,ProbioticsDay 15,0,ASV376,Rhodobacteraceae,Oceanicella
T2-3,Probiotics,Day 03,ProbioticsDay 03,0,ASV376,Rhodobacteraceae,Oceanicella
T2-6,Probiotics,Day 06,ProbioticsDay 06,0,ASV376,Rhodobacteraceae,Oceanicella
T2-S-1,Probiotics,Spat,ProbioticsSpat,12,ASV376,Rhodobacteraceae,Oceanicella
T2-S-2,Probiotics,Spat,ProbioticsSpat,3,ASV376,Rhodobacteraceae,Oceanicella
T20-1,Probiotics,Day 01,ProbioticsDay 01,0,ASV376,Rhodobacteraceae,Oceanicella
T20-15,Probiotics,Day 15,ProbioticsDay 15,0,ASV376,Rhodobacteraceae,Oceanicella
T20-3,Probiotics,Day 03,ProbioticsDay 03,0,ASV376,Rhodobacteraceae,Oceanicella
